BARRIO2,Con heridos,Con muertos,Glorieta,Interseccion,Lote o Predio,Tramo de via,Via peatonal,Atropello,Choque,Cluster
Aguas Frías,15,0,0,1,3,15,0,4,8,5
Aldea Pablo VI,57,0,0,2,18,58,0,17,30,5
Alejandro Echavarría,657,2,30,160,148,622,0,94,557,2
Alejandría,196,0,4,112,46,407,0,15,483,5
Alfonso López,889,0,0,202,159,914,0,159,653,2
Altamira,604,0,77,137,120,609,0,71,591,4
Altavista,207,0,0,66,31,231,0,59,184,5
Altavista Sector Central,70,0,0,2,12,79,0,15,42,5
Altos del Poblado,184,1,1,47,46,262,0,20,255,5
Andalucía,176,0,0,26,38,204,0,65,125,5
Antonio Nariño,162,0,0,34,29,149,0,38,95,5
Aranjuez,257,0,0,87,40,243,0,49,207,5
Asomadera No.1,428,2,0,62,73,737,0,37,646,4
Asomadera No.2,261,0,3,95,61,558,0,12,582,5
Asomadera No.3,34,0,0,3,7,44,0,1,30,5
Astorga,107,0,0,128,14,143,0,8,248,5
Aures No.1,454,0,0,89,109,401,0,88,248,4
Aures No.2,718,0,0,129,188,605,0,115,357,2
B. Cerro El Volador,489,0,0,131,103,704,0,60,683,4
Barrio Caicedo,666,1,15,275,113,619,0,123,589,2
Barrio Colombia,502,2,24,242,90,854,0,82,959,4
Barrio Colón,1917,8,74,1078,231,3195,2,444,3606,3
Barrio Cristóbal,136,0,0,87,14,158,0,19,207,5
Barrios de Jesús,277,2,0,27,62,320,0,65,215,5
Batallón Cuarta Brigada,26,0,0,16,2,38,0,1,48,5
Batallón Girardot,7,0,0,1,3,3,0,6,2,5
Belalcázar,246,1,0,42,37,373,0,28,335,5
Belencito,125,0,0,18,23,123,0,20,87,5
Bello Horizonte,168,0,0,64,30,153,0,42,139,5
Belén,1058,3,175,452,238,1629,0,200,1945,2
Berlín,667,2,0,233,131,626,0,181,520,2
Bermejal-Los Álamos,218,0,1,29,59,205,0,55,136,5
Betania,164,0,1,19,35,176,0,37,110,5
Blanquizal,51,0,0,3,10,56,0,15,36,5
Bolivariana,615,0,8,302,100,822,0,112,900,4
Bomboná No.1,514,1,0,329,59,690,0,72,839,4
Bomboná No.2,253,1,0,40,66,309,0,45,232,5
Boquerón,1,0,0,0,0,1,0,0,1,5
Bosques de San Pablo,398,0,28,88,113,470,0,36,441,4
Boston,1454,3,38,951,184,1407,2,252,1932,0
Boyacá,459,1,3,145,100,485,0,46,468,4
Brasilia,786,2,2,278,140,644,0,174,608,2
Buenos Aires,738,0,1,460,106,619,0,97,829,4
Buga Patio Bonito,46,0,0,4,10,55,0,8,35,5
Cabecera Urbana Corregimiento San Cristóbal,560,1,0,53,116,603,0,124,363,4
Calasanz,1076,1,352,340,161,1203,1,166,1463,1
Calasanz Parte Alta,297,0,0,121,71,327,0,24,330,5
Calle Nueva,705,2,20,312,102,1184,2,140,1290,0
Campo Alegre,283,0,36,52,36,274,0,53,244,5
Campo Amor,2810,9,708,510,373,4106,2,287,4414,1
Campo Valdés No.1,1063,3,0,419,161,782,0,230,755,2
Campo Valdés No.2,683,0,1,203,150,499,0,161,403,2
Caribe,1332,4,283,209,303,2388,1,150,2636,1
Carlos E. Restrepo,765,4,2,301,120,1119,0,69,1202,2
Carpinelo,93,0,0,3,27,82,0,44,29,5
Castilla,1873,5,1,405,357,1726,0,294,1355,0
Castropol,651,0,4,154,122,1185,0,71,1143,4
Cataluña,216,0,0,47,60,260,0,33,206,5
Cementerio Universal,116,0,0,13,10,141,0,35,88,5
Centro Administrativo,182,2,48,79,30,344,1,36,434,4
Cerro Nutibara,296,0,0,24,37,503,1,25,428,4
Corazón de Jesús,1820,3,392,503,173,2988,1,336,3392,1
Cristo Rey,1434,2,0,403,186,2087,1,182,2075,0
Cuarta Brigada,617,1,0,420,120,754,0,86,1012,4
Cucaracho,565,1,0,72,135,568,0,51,389,4
Córdoba,111,0,5,28,28,120,0,22,98,5
Diego Echavarría,166,0,1,55,35,203,1,12,207,4
Doce de Octubre No.1,476,1,0,52,120,429,0,122,225,4
Doce de Octubre No.2,566,1,14,98,128,497,1,105,347,4
Ecoparque Cerro El Volador,339,1,0,35,68,455,0,23,385,5
El Astillero,4,0,0,0,2,2,0,0,2,5
El Carmelo,0,0,0,0,0,1,0,0,1,5
El Castillo,160,0,1,53,23,365,0,10,378,5
El Chagualo,2056,7,244,501,256,2646,2,318,2660,1
El Compromiso,18,0,0,0,6,16,0,3,10,5
El Corazón,91,0,0,8,10,101,0,27,58,5
El Corazón El Morro,30,0,0,0,3,38,0,9,21,5
El Danubio,452,3,0,200,65,412,0,53,457,4
El Diamante,1374,1,84,248,321,1151,0,201,807,2
El Diamante No.2,85,0,0,28,34,237,0,9,262,5
El Llano,15,1,0,1,5,17,0,2,13,5
El Llano SE,0,0,0,0,0,1,0,0,1,5
El Nogal-Los Almendros,340,0,27,179,39,517,0,49,611,4
El Patio,1,0,0,0,0,1,0,0,0,5
El Pesebre,140,0,1,21,36,143,0,23,110,5
El Picacho,23,0,0,1,4,23,0,5,10,5
El Pinal,429,0,0,56,85,520,0,126,323,4
El Placer,7,0,0,0,1,9,0,0,7,5
El Plan,67,0,0,2,48,33,0,10,25,5
El Poblado,537,1,2,325,79,1245,2,82,1364,0
El Pomar,335,0,0,113,55,274,0,44,252,5
El Progreso,1955,2,37,456,363,2644,0,171,2473,0
El Raizal,384,0,0,51,100,355,0,104,202,4
El Rincón,601,0,56,94,152,692,0,85,561,4
El Rodeo,146,2,30,33,26,206,0,11,221,5
El Salado,3,0,0,0,2,1,0,0,0,5
El Salvador,460,0,4,142,114,444,0,88,392,4
El Socorro,37,1,0,10,4,37,0,14,23,5
El Tesoro,244,1,9,95,80,444,0,16,518,5
El Triunfo,72,0,0,2,22,65,0,22,27,5
El Velódromo,174,0,3,103,20,213,0,20,273,5
Enciso,578,0,4,157,114,526,0,114,447,4
Estación Villa,601,2,10,274,92,756,0,194,743,2
Estadio,781,2,6,265,101,1015,0,146,902,2
Facultad Veterinaria y Zootecnia U.de.A.,66,0,0,7,13,90,0,6,60,5
Facultad de Minas,54,0,1,10,9,66,0,5,57,5
Facultad de Minas U. Nacional,0,0,0,0,0,1,0,0,1,5
Ferrini,795,3,0,140,132,887,1,76,674,4
Florencia,295,0,0,71,56,322,0,50,246,5
Florida Nueva,198,0,1,130,20,258,0,35,332,5
Francisco Antonio Zea,1209,1,0,230,203,1291,0,173,1019,2
Fuente Clara,365,2,0,30,61,365,0,36,269,5
Fátima,432,1,5,234,69,572,0,53,707,4
Gerona,373,0,2,156,80,308,0,69,317,4
Girardot,1282,5,2,193,220,1682,0,125,1401,0
Granada,487,1,0,215,56,597,0,60,622,4
Granizal,232,1,0,33,41,273,0,98,161,5
Guayabal,1045,3,1,361,149,1658,0,128,1641,2
Guayaquil,1146,1,42,573,167,2349,2,334,2461,0
Hospital San Vicente de Paúl,122,1,4,50,16,182,1,27,192,4
Héctor Abad Gómez,707,5,0,68,99,990,0,56,776,4
Jardín Botánico,100,0,0,24,15,128,0,20,114,5
Jesús Nazareno,1113,3,91,475,141,1255,0,169,1499,2
Juan Pablo II,35,0,0,2,10,29,0,13,11,5
Juan XXIII La Quiebra,114,0,1,7,23,129,0,36,62,5
Kennedy,920,2,0,213,214,840,0,240,576,2
La Aguacatala,845,1,259,127,125,1381,1,44,1598,1
La Alpujarra,1205,3,598,164,119,1839,1,117,2365,1
La América,718,2,107,238,109,882,0,137,909,2
La Avanzada,62,0,0,3,20,56,0,14,48,5
La Candelaria,2422,6,2,1186,319,4231,3,949,4086,3
La Castellana,597,0,109,380,69,693,1,76,1019,4
La Colina,412,1,4,114,65,516,0,69,406,4
La Cruz,103,0,0,5,23,110,0,39,59,5
La Cuchilla,0,0,0,0,0,1,0,0,1,5
La Esperanza,722,1,0,219,148,524,0,168,369,2
La Esperanza No.2,74,0,0,6,8,80,0,33,38,5
La Floresta,630,0,12,329,83,678,0,86,782,4
La Florida,447,0,3,229,149,977,0,63,1145,4
La Francia,333,1,9,48,60,371,0,123,234,5
La Frisola,2,0,0,0,0,2,0,0,2,5
La Frontera,234,1,1,47,46,250,0,65,180,5
La Gloria,739,0,3,233,102,887,0,75,772,4
La Hondonada,161,0,0,27,41,205,0,19,166,5
La Ilusión,4,0,0,0,0,5,0,0,4,5
La Isla,210,1,0,25,35,242,0,92,133,5
La Ladera,48,0,0,6,12,57,0,8,45,5
La Libertad,276,0,0,30,82,290,0,71,172,4
La Loma,267,0,0,29,54,302,0,41,208,5
La Loma de Los Bernal,297,0,19,94,86,437,1,25,465,4
La Mansión,257,0,0,140,32,203,0,38,241,5
La Milagrosa,357,0,0,221,57,309,0,65,396,4
La Mota,472,0,30,95,89,584,0,53,535,4
La Palma,545,2,200,167,95,670,0,82,848,2
La Pilarica,593,0,0,148,127,711,0,54,639,4
La Piñuela,247,0,0,61,42,218,0,48,174,5
La Pradera,274,0,0,60,57,265,0,55,192,5
La Rosa,353,0,1,78,57,352,0,99,252,4
La Salle,399,2,0,58,76,384,0,140,221,5
La Sierra,21,0,0,0,11,12,0,3,4,5
La Verde,47,0,56,4,11,47,0,4,95,5
Lalinde,74,0,1,44,6,149,0,5,178,5
Las Acacias,746,1,260,284,139,977,2,85,1305,1
Las Brisas,434,4,0,70,63,625,0,58,551,4
Las Esmeraldas,344,1,0,98,47,280,0,83,208,5
Las Estancias,237,1,0,20,59,221,0,73,117,5
Las Granjas,920,1,1,152,187,899,0,290,569,2
Las Independencias,103,0,0,7,28,87,0,50,33,5
Las Lomas No.1,225,1,2,117,53,401,0,18,461,5
Las Lomas No.2,189,0,1,102,50,309,0,7,388,5
Las Mercedes,210,0,1,78,50,228,0,37,230,5
Las Palmas,206,2,7,35,43,299,1,14,246,4
Las Playas,3,0,0,0,2,7,0,1,8,5
Las Violetas,219,0,0,39,59,240,0,62,176,5
Laureles,732,0,50,507,103,923,0,69,1316,4
Llanaditas,50,0,0,0,9,56,0,22,23,5
Lorena,1035,4,61,384,127,1370,0,147,1399,2
Loreto,535,1,0,87,101,602,0,132,393,4
Los Alcázares,350,0,0,160,63,348,0,55,375,4
Los Alpes,375,0,3,161,77,377,0,56,407,4
Los Balsos No.1,161,1,2,58,42,409,0,7,443,5
Los Balsos No.2,262,0,4,97,131,742,1,35,865,4
Los Cerros El Vergel,237,0,0,57,41,224,0,49,170,5
Los Colores,386,1,1,145,60,387,0,34,408,5
Los Conquistadores,1559,4,14,347,215,2732,0,138,2668,0
Los Mangos,426,1,0,70,89,419,0,123,273,4
Los Naranjos,306,1,4,117,175,637,0,24,768,4
Los Pinos,212,1,2,83,25,320,0,44,326,5
Los Ángeles,566,1,0,384,68,442,0,73,638,4
López de  Mesa,195,0,0,40,40,188,0,39,127,5
Manila,855,1,321,285,188,1586,2,72,2054,1
Manrique Central No.1,919,3,0,328,135,822,0,170,760,2
Manrique Central No.2,514,1,0,153,81,523,0,75,481,4
Manrique Oriental,636,2,0,149,104,594,0,157,451,2
María Cano-Carambolas,64,0,0,3,17,63,0,35,28,5
Media Luna,38,0,0,1,5,37,0,2,14,5
Metropolitano,16,0,0,3,5,12,0,2,7,5
Mirador del Doce,108,0,0,16,23,99,0,39,53,5
Miraflores,369,0,0,154,63,350,0,53,368,4
Miranda,387,3,0,273,42,315,0,67,455,4
Miravalle,94,0,0,62,9,125,0,9,157,5
Montañita,22,0,0,2,5,20,0,4,9,5
Monteclaro,95,0,0,3,25,96,0,15,50,5
Moravia,968,3,7,207,175,1045,1,319,774,0
Moscú No.1,192,0,0,38,39,220,0,55,164,5
Moscú No.2,318,2,0,51,75,288,0,119,155,5
Naranjal,496,3,0,117,108,803,1,74,821,4
Nueva Villa de La Iguaná,191,0,0,26,23,255,0,40,202,5
Nueva Villa del Aburrá,133,0,0,49,15,203,0,20,197,5
Nuevos Conquistadores,71,0,0,4,21,73,0,25,35,5
Ocho de Marzo,53,0,0,4,8,63,0,13,44,5
Olaya Herrera,127,2,1,4,31,142,0,36,91,5
Oleoducto,35,0,0,2,3,42,0,0,24,5
Oriente,26,0,0,0,11,20,0,10,7,5
Pablo VI,85,0,0,8,15,105,0,41,62,5
Pajarito,78,0,0,23,27,69,0,5,62,5
Palenque,555,1,1,149,105,593,0,62,506,4
Palermo,395,0,37,73,60,408,0,97,346,4
Palmitas Sector Central,3,0,0,0,2,7,0,0,7,5
Parque Juan Pablo II,765,2,127,180,105,937,0,59,991,2
Parque Norte,444,1,24,62,60,685,0,56,620,4
Patio Bonito,635,4,12,205,60,1228,1,48,1290,4
Pedregal,659,1,7,155,148,527,0,148,374,2
Pedregal Alto,48,0,0,2,11,41,0,2,18,5
Perpetuo Socorro,2884,9,177,1202,401,4407,1,252,5065,3
Picachito,81,0,0,13,27,55,0,25,33,5
Picacho,702,1,0,70,172,628,0,164,349,2
Piedra Gorda,0,0,0,0,0,1,0,0,1,5
Piedras Blancas - Matasano,83,1,0,1,29,72,0,35,29,5
Playón de Los Comuneros,151,1,0,43,18,169,0,44,143,5
Plaza de Ferias,38,0,0,3,5,53,0,0,44,5
Popular,308,0,0,28,82,279,0,109,139,4
Potrerito,8,0,1,1,2,6,0,2,4,5
Prado,1423,4,10,933,199,1335,0,187,1833,2
Progreso No.2,175,0,1,25,37,168,0,37,119,5
Robledo,1644,3,0,309,379,1799,1,150,1372,0
Rosales,988,1,58,618,102,1212,2,91,1676,0
San Antonio,23,0,0,1,5,20,0,6,8,5
San Antonio de Prado,2146,10,12,377,263,3018,2,470,2436,3
San Benito,1449,14,62,516,224,2334,1,412,2237,3
San Bernardo,543,4,0,256,75,586,0,95,643,4
