,FECHA,FESTIVIDAD,DIA_SEMANA,DIA_QUINCENA,SEMANA,MES
0,2020-09-01,NO FESTIVO,Martes,0,35,09
1,2020-09-02,NO FESTIVO,Miércoles,0,35,09
2,2020-09-03,NO FESTIVO,Jueves,0,35,09
3,2020-09-04,NO FESTIVO,Viernes,0,35,09
4,2020-09-05,NO FESTIVO,Sábado,0,35,09
5,2020-09-06,NO FESTIVO,Domingo,0,36,09
6,2020-09-07,NO FESTIVO,Lunes,0,36,09
7,2020-09-08,NO FESTIVO,Martes,0,36,09
8,2020-09-09,NO FESTIVO,Miércoles,0,36,09
9,2020-09-10,NO FESTIVO,Jueves,0,36,09
10,2020-09-11,NO FESTIVO,Viernes,0,36,09
11,2020-09-12,NO FESTIVO,Sábado,0,36,09
12,2020-09-13,NO FESTIVO,Domingo,0,37,09
13,2020-09-14,NO FESTIVO,Lunes,0,37,09
14,2020-09-15,NO FESTIVO,Martes,1,37,09
15,2020-09-16,NO FESTIVO,Miércoles,0,37,09
16,2020-09-17,NO FESTIVO,Jueves,0,37,09
17,2020-09-18,NO FESTIVO,Viernes,0,37,09
18,2020-09-19,NO FESTIVO,Sábado,0,37,09
19,2020-09-20,NO FESTIVO,Domingo,0,38,09
20,2020-09-21,NO FESTIVO,Lunes,0,38,09
21,2020-09-22,NO FESTIVO,Martes,0,38,09
22,2020-09-23,NO FESTIVO,Miércoles,0,38,09
23,2020-09-24,NO FESTIVO,Jueves,0,38,09
24,2020-09-25,NO FESTIVO,Viernes,0,38,09
25,2020-09-26,NO FESTIVO,Sábado,0,38,09
26,2020-09-27,NO FESTIVO,Domingo,0,39,09
27,2020-09-28,NO FESTIVO,Lunes,0,39,09
28,2020-09-29,NO FESTIVO,Martes,0,39,09
29,2020-09-30,NO FESTIVO,Miércoles,1,39,09
30,2020-10-01,NO FESTIVO,Jueves,0,39,10
31,2020-10-02,NO FESTIVO,Viernes,0,39,10
32,2020-10-03,NO FESTIVO,Sábado,0,39,10
33,2020-10-04,NO FESTIVO,Domingo,0,40,10
34,2020-10-05,NO FESTIVO,Lunes,0,40,10
35,2020-10-06,NO FESTIVO,Martes,0,40,10
36,2020-10-07,NO FESTIVO,Miércoles,0,40,10
37,2020-10-08,NO FESTIVO,Jueves,0,40,10
38,2020-10-09,NO FESTIVO,Viernes,0,40,10
39,2020-10-10,NO FESTIVO,Sábado,0,40,10
40,2020-10-11,NO FESTIVO,Domingo,0,41,10
41,2020-10-12,FESTIVO,Lunes,0,41,10
42,2020-10-13,NO FESTIVO,Martes,0,41,10
43,2020-10-14,NO FESTIVO,Miércoles,0,41,10
44,2020-10-15,NO FESTIVO,Jueves,1,41,10
45,2020-10-16,NO FESTIVO,Viernes,0,41,10
46,2020-10-17,NO FESTIVO,Sábado,0,41,10
47,2020-10-18,NO FESTIVO,Domingo,0,42,10
48,2020-10-19,NO FESTIVO,Lunes,0,42,10
49,2020-10-20,NO FESTIVO,Martes,0,42,10
50,2020-10-21,NO FESTIVO,Miércoles,0,42,10
51,2020-10-22,NO FESTIVO,Jueves,0,42,10
52,2020-10-23,NO FESTIVO,Viernes,0,42,10
53,2020-10-24,NO FESTIVO,Sábado,0,42,10
54,2020-10-25,NO FESTIVO,Domingo,0,43,10
55,2020-10-26,NO FESTIVO,Lunes,0,43,10
56,2020-10-27,NO FESTIVO,Martes,0,43,10
57,2020-10-28,NO FESTIVO,Miércoles,0,43,10
58,2020-10-29,NO FESTIVO,Jueves,0,43,10
59,2020-10-30,NO FESTIVO,Viernes,1,43,10
60,2020-10-31,BRUJAS,Sábado,1,43,10
61,2020-11-01,NO FESTIVO,Domingo,0,44,11
62,2020-11-02,FESTIVO,Lunes,0,44,11
63,2020-11-03,NO FESTIVO,Martes,0,44,11
64,2020-11-04,NO FESTIVO,Miércoles,0,44,11
65,2020-11-05,NO FESTIVO,Jueves,0,44,11
66,2020-11-06,NO FESTIVO,Viernes,0,44,11
67,2020-11-07,NO FESTIVO,Sábado,0,44,11
68,2020-11-08,NO FESTIVO,Domingo,0,45,11
69,2020-11-09,NO FESTIVO,Lunes,0,45,11
70,2020-11-10,NO FESTIVO,Martes,0,45,11
71,2020-11-11,NO FESTIVO,Miércoles,0,45,11
72,2020-11-12,NO FESTIVO,Jueves,0,45,11
73,2020-11-13,NO FESTIVO,Viernes,0,45,11
74,2020-11-14,NO FESTIVO,Sábado,0,45,11
75,2020-11-15,NO FESTIVO,Domingo,1,46,11
76,2020-11-16,FESTIVO,Lunes,0,46,11
77,2020-11-17,NO FESTIVO,Martes,0,46,11
78,2020-11-18,NO FESTIVO,Miércoles,0,46,11
79,2020-11-19,NO FESTIVO,Jueves,0,46,11
80,2020-11-20,NO FESTIVO,Viernes,0,46,11
81,2020-11-21,NO FESTIVO,Sábado,0,46,11
82,2020-11-22,NO FESTIVO,Domingo,0,47,11
83,2020-11-23,NO FESTIVO,Lunes,0,47,11
84,2020-11-24,NO FESTIVO,Martes,0,47,11
85,2020-11-25,NO FESTIVO,Miércoles,0,47,11
86,2020-11-26,NO FESTIVO,Jueves,0,47,11
87,2020-11-27,NO FESTIVO,Viernes,0,47,11
88,2020-11-28,NO FESTIVO,Sábado,0,47,11
89,2020-11-29,NO FESTIVO,Domingo,0,48,11
90,2020-11-30,NO FESTIVO,Lunes,1,48,11
91,2020-12-01,NO FESTIVO,Martes,0,48,12
92,2020-12-02,NO FESTIVO,Miércoles,0,48,12
93,2020-12-03,NO FESTIVO,Jueves,0,48,12
94,2020-12-04,NO FESTIVO,Viernes,0,48,12
95,2020-12-05,NO FESTIVO,Sábado,0,48,12
96,2020-12-06,NO FESTIVO,Domingo,0,49,12
97,2020-12-07,NO FESTIVO,Lunes,0,49,12
98,2020-12-08,FESTIVO,Martes,0,49,12
99,2020-12-09,NO FESTIVO,Miércoles,0,49,12
100,2020-12-10,NO FESTIVO,Jueves,0,49,12
101,2020-12-11,NO FESTIVO,Viernes,0,49,12
102,2020-12-12,NO FESTIVO,Sábado,0,49,12
103,2020-12-13,NO FESTIVO,Domingo,0,50,12
104,2020-12-14,NO FESTIVO,Lunes,0,50,12
105,2020-12-15,NO FESTIVO,Martes,1,50,12
106,2020-12-16,NO FESTIVO,Miércoles,0,50,12
107,2020-12-17,NO FESTIVO,Jueves,0,50,12
108,2020-12-18,NO FESTIVO,Viernes,0,50,12
109,2020-12-19,NO FESTIVO,Sábado,0,50,12
110,2020-12-20,NO FESTIVO,Domingo,0,51,12
111,2020-12-21,NO FESTIVO,Lunes,0,51,12
112,2020-12-22,NO FESTIVO,Martes,0,51,12
113,2020-12-23,NO FESTIVO,Miércoles,0,51,12
114,2020-12-24,NAVIDAD,Jueves,0,51,12
115,2020-12-24,NAVIDAD,Jueves,0,51,12
116,2020-12-25,NO FESTIVO,Viernes,0,51,12
117,2020-12-26,NO FESTIVO,Sábado,0,51,12
118,2020-12-27,NO FESTIVO,Domingo,0,52,12
119,2020-12-28,NO FESTIVO,Lunes,0,52,12
120,2020-12-29,NO FESTIVO,Martes,0,52,12
121,2020-12-30,NO FESTIVO,Miércoles,1,52,12
122,2020-12-31,NAVIDAD,Jueves,1,52,12
123,2021-01-01,A_NUEVO,Viernes,0,00,01
124,2021-01-02,NO FESTIVO,Sábado,0,00,01
125,2021-01-03,NO FESTIVO,Domingo,0,01,01
126,2021-01-04,NO FESTIVO,Lunes,0,01,01
127,2021-01-05,NO FESTIVO,Martes,0,01,01
128,2021-01-06,NO FESTIVO,Miércoles,0,01,01
129,2021-01-07,NO FESTIVO,Jueves,0,01,01
130,2021-01-08,NO FESTIVO,Viernes,0,01,01
131,2021-01-09,NO FESTIVO,Sábado,0,01,01
132,2021-01-10,NO FESTIVO,Domingo,0,02,01
133,2021-01-11,FESTIVO,Lunes,0,02,01
134,2021-01-12,NO FESTIVO,Martes,0,02,01
135,2021-01-13,NO FESTIVO,Miércoles,0,02,01
136,2021-01-14,NO FESTIVO,Jueves,0,02,01
137,2021-01-15,NO FESTIVO,Viernes,1,02,01
138,2021-01-16,NO FESTIVO,Sábado,0,02,01
139,2021-01-17,NO FESTIVO,Domingo,0,03,01
140,2021-01-18,NO FESTIVO,Lunes,0,03,01
